state_code,county_code,no_exercise,few_fruit_veg,obesity,high_blood_pres,smoker,diabetes,uninsured,prim_care_phys_rate,dentist_rate,community_health_center_ind
4,11,,,,,,5.0,1082,39.9,13.3,1
4,12,26.6,83.4,22.0,,18.1,8.3,4885,34.6,9.9,2
4,13,23.3,74.7,19.9,21.4,19.9,6.3,537647,69.8,33.5,1
4,15,27.9,77.6,25.0,30.6,29.4,7.5,31916,39.0,20.8,1
4,17,23.7,75.4,25.1,27.1,19.8,8.8,22206,49.8,24.0,1
4,19,20.9,70.7,19.7,23.8,18.7,6.6,149746,93.1,38.2,1
4,21,26.9,73.8,26.7,28.3,21.8,10.6,33439,21.3,10.0,1
4,23,36.9,66.8,20.0,20.4,18.1,7.0,11544,45.2,16.7,1
4,25,23.4,69.3,16.0,28.5,21.9,5.7,28886,63.4,32.2,1
4,27,26.7,73.5,25.7,26.8,16.2,9.2,45336,43.6,17.7,1
5,1,35.1,79.3,30.7,,29.2,7.8,2858,59.8,24.9,2
5,3,35.0,88.8,30.2,28.9,29.7,7.7,3783,60.4,34.5,1
5,5,24.9,71.9,22.7,33.8,25.4,10.2,5191,84.3,34.7,2
5,7,22.3,77.4,21.5,25.4,21.4,5.8,22708,52.4,31.0,2
5,9,31.4,77.9,23.7,30.4,25.1,6.7,5033,95.0,44.7,2
5,11,30.9,83.9,25.2,,23.7,8.5,2467,73.8,24.6,2
5,13,,,,,,3.5,846,17.9,0.0,1
5,15,28.7,75.7,21.0,,28.5,5.1,5529,55.6,22.2,2
5,17,33.5,,21.9,,27.4,15.6,3200,61.4,30.7,1
5,19,30.0,75.0,20.8,27.3,16.2,6.3,3575,61.1,52.4,1
5,21,39.1,76.8,29.7,,34.6,10.2,2567,48.3,42.2,1
5,23,29.4,72.7,25.1,34.5,21.9,8.6,3723,55.1,19.7,1
5,25,,,26.8,,25.2,11.3,1173,0.0,11.2,1
5,27,27.5,84.6,23.8,,23.2,9.2,3610,60.7,44.5,2
5,29,29.9,87.2,26.5,32.7,32.2,4.9,3085,72.3,19.3,2
5,31,29.9,77.7,29.1,27.3,25.1,6.2,11601,121.1,40.4,1
5,33,27.5,82.6,21.1,27.5,27.5,5.8,9011,46.9,17.4,2
5,35,29.1,83.0,30.0,33.6,25.0,11.5,10083,38.5,34.7,1
5,37,35.8,79.1,30.2,,32.8,9.6,3311,26.0,41.6,1
5,39,,,,,14.8,14.7,1540,46.9,46.9,2
5,41,,,27.5,,21.5,10.3,3217,34.8,27.9,2
5,43,28.3,80.3,21.6,,28.2,4.5,3227,32.1,32.1,2
5,45,24.4,78.6,23.6,22.9,19.8,4.8,10687,63.8,30.9,2
5,47,28.7,85.3,27.4,17.5,31.7,4.7,2780,16.5,16.5,2
5,49,25.9,81.4,27.6,,30.9,6.8,2113,50.3,16.8,2
